Pedido,posicion,material,cantidad,Fecha
7132135113,00020,000000000018000761,70400.000000,2023-11-23
7132135121,00020,000000000018000474,17200.000000,2023-11-23
7132135107,00020,000000000076230875,88000.000000,2023-11-23
7132135120,00020,000000000076620010,23334.000000,2023-11-23
7132135120,00030,000000000076620011,27167.000000,2023-11-23
7132135120,00040,000000000076620017,27167.000000,2023-11-23
7132135120,00050,000000000076620018,27167.000000,2023-11-23
7132135117,00010,000000000018000239,37600.000000,2023-11-23
7132135117,00020,000000000076230749,37600.000000,2023-11-23
7132135108,00020,000000000076230812,37600.000000,2023-11-23
7132135110,00010,000000000076230906,37600.000000,2023-11-23
7132135117,00030,000000000076230561,37600.000000,2023-11-23
7132135113,00010,000000000018000298,37600.000000,2023-11-23
7132135113,00030,000000000018000444,37600.000000,2023-11-23
7132135117,00040,000000000076620021,37600.000000,2023-11-23
7132135117,00050,000000000076620031,37600.000000,2023-11-23
7132135109,00020,000000000076230868,37600.000000,2023-11-23
7132135112,00030,000000000076230180,37600.000000,2023-11-23
7132135113,00040,000000000076230821,37600.000000,2023-11-23
